ESTU_TIPODOCUMENTO,ESTU_GENERO,PERIODO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_MCPIO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,PUNT_GLOBAL,edad
CC,M,20191,COLOMBIA,VALLE,BUCARAMANGA,No aplica,No aplica,Estrato 5,7 o más,Cinco,Si,Si,Si,Si,Si,Si,Si,Si,11 A 50 LIBROS,1 vez por semana,3 a 5 veces por semana,Todos o casi todos los dias,No sabe,Si,Mejor,Entre 1 y 3 horas,Entre 1 y 3 horas,0,No,COLEGIO COMFANDI EL PRADO,MIXTO,NO OFICIAL,A,S,ACADEMICO,SEDE SECUNDARIA,S,URBANO,NOCHE,MEDELLIN,SANTANDER,242,28
CC,M,20172,COLOMBIA,ATLANTICO,BARRANQUILLA,Educacion Profesional completa,Educacion Profesional completa,Estrato 1,3 a 4,Dos,No,Si,Si,No,Si,Si,Si,Si,MAS DE 100 LIBROS,1 vez por semana,1 vez por semana,Nunca,Si,No sabe,Peor,30 minutos o menos,Más de 3 horas,21-40,Si,COLEGIO COMFANDI EL PRADO,FEMENINO,NO OFICIAL,B,S,TECNICO,SEDE PRINCIPAL,N,RURAL,TARDE,CALI,VALLE,347,18
CE,M,20192,COLOMBIA,VALLE,BARRANQUILLA,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 2,7 o más,Cinco,Si,No,No,No,No,No,Si,No,11 A 50 LIBROS,1 vez por semana,1 vez por semana,Todos o casi todos los dias,No aplica,Si,Mejor,Más de 3 horas,Entre 1 y 3 horas,11-20,No,COLEGIO CENTRAL,MASCULINO,NO OFICIAL,B,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,S,URBANO,NOCHE,BUCARAMANGA,ANTIOQUIA,382,18
CC,F,20171,COLOMBIA,CUNDINAMARCA,MEDELLIN,Educacion Profesional incompleta,Educacion Profesional completa,Estrato 5,5 a 6,Tres,No,No,No,Si,Si,No,No,Si,51 A 100 LIBROS,1 vez por semana,1 vez por semana,3 a 5 veces por semana,No,Si,Mejor,Entre 1 y 3 horas,Más de 3 horas,0,No,COLEGIO COMFANDI EL PRADO,MASCULINO,NO OFICIAL,A,S,ACADEMICO,COLEGIO COMFANDI EL PRADO,N,RURAL,MANANA,BOGOTA,CUNDINAMARCA,257,28
TI,F,20182,COLOMBIA,CUNDINAMARCA,CALI,No aplica,No aplica,Estrato 4,5 a 6,Dos,No,No,No,No,No,Si,No,No,11 A 50 LIBROS,Todos o casi todos los dias,1 vez por semana,1 vez por semana,No aplica,No,Igual,Más de 3 horas,Entre 1 y 3 horas,1-10,Si,COLEGIO CENTRAL,FEMENINO,OFICIAL,A,N,TECNICO,SEDE PRINCIPAL,N,URBANO,TARDE,CALI,VALLE,300,25
CE,M,20191,COLOMBIA,CUNDINAMARCA,BARRANQUILLA,Educacion Profesional incompleta,No aplica,Estrato 5,5 a 6,Dos,No,No,Si,No,No,No,No,Si,MAS DE 100 LIBROS,Nunca,3 a 5 veces por semana,1 vez por semana,Si,No sabe,Mejor,Más de 3 horas,Más de 3 horas,0,No,COLEGIO CENTRAL,MASCULINO,OFICIAL,B,N,TECNICO,COLEGIO COMFANDI EL PRADO,S,RURAL,MANANA,BOGOTA,CUNDINAMARCA,307,22
CC,F,20172,COLOMBIA,SANTANDER,MEDELLIN,No aplica,Educacion Profesional completa,Estrato 4,7 o más,Cuatro,Si,No,No,No,Si,No,No,Si,11 A 50 LIBROS,1 vez por semana,Todos o casi todos los dias,Todos o casi todos los dias,No sabe,Si,Mejor,Entre 1 y 3 horas,Más de 3 horas,11-20,No,COLEGIO MAYOR,MASCULINO,OFICIAL,B,S,ACADEMICO,SEDE SECUNDARIA,N,URBANO,MANANA,BOGOTA,CUNDINAMARCA,352,19
CE,M,20181,COLOMBIA,ATLANTICO,BARRANQUILLA,Educacion Profesional completa,No aplica,Estrato 1,3 a 4,Tres,Si,Si,No,Si,Si,Si,No,Si,0 A 10 LIBROS,Todos o casi todos los dias,Todos o casi todos los dias,1 vez por semana,No sabe,No,Mejor,Entre 1 y 3 horas,Entre 1 y 3 horas,11-20,No,COLEGIO MAYOR,MIXTO,NO OFICIAL,B,N,TECNICO,SEDE PRINCIPAL,N,URBANO,MANANA,BUCARAMANGA,SANTANDER,250,26
CC,F,20172,COLOMBIA,ATLANTICO,BUCARAMANGA,Educacion Profesional completa,Educacion Profesional completa,Estrato 2,5 a 6,Cuatro,Si,No,No,Si,Si,No,Si,No,51 A 100 LIBROS,Nunca,Todos o casi todos los dias,3 a 5 veces por semana,Si,No aplica,Igual,30 minutos o menos,30 minutos o menos,21-40,Si,COLEGIO MAYOR,MIXTO,OFICIAL,A,S,TECNICO,SEDE SECUNDARIA,N,URBANO,TARDE,BARRANQUILLA,CUNDINAMARCA,203,22
CE,F,20182,COLOMBIA,SANTANDER,MEDELLIN,Educacion Profesional completa,Educacion Profesional incompleta,Estrato 5,5 a 6,Tres,Si,No,Si,No,Si,Si,Si,Si,11 A 50 LIBROS,1 vez por semana,3 a 5 veces por semana,Todos o casi todos los dias,No,No sabe,Mejor,Entre 1 y 3 horas,Más de 3 horas,0,Si,COLEGIO MAYOR,FEMENINO,OFICIAL,A,N,TECNICO,SEDE PRINCIPAL,N,RURAL,NOCHE,CALI,VALLE,356,20
