ESTU_TIPODOCUMENTO;CORRECTO;ESTU_GENERO;PERIODO;ESTU_PAIS_RESIDE;ESTU_DEPTO_RESIDE;ESTU_MCPIO_RESIDE;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_ESTRATOVIVIENDA;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_TIENEINTERNET;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENESERVICIOTV;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_COMELECHEDERIVADOS;FAMI_COMECARNEPESCADOHUEVO;FAMI_COMECEREALFRUTOSLEGUMBRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;ESTU_HORASSEMANATRABAJA;ESTU_TIPOREMUNERACION;COLE_NOMBRE_ESTABLECIMIENTO;COLE_GENERO;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_CARACTER;COLE_NOMBRE_SEDE;COLE_SEDE_PRINCIPAL;COLE_AREA_UBICACION;COLE_JORNADA;COLE_MCPIO_UBICACION;COLE_DEPTO_UBICACION;PUNT_GLOBAL;edad
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Educacion Profesional incompleta;Educacion Profesional completa;Estrato 3;5 a 6;Tres;Si;Si;Si;Si;Si;No;No;Si;MAS DE 100 LIBROS;Todos o casi todos los dias ;3 a 5 veces por semana;3 a 5 veces por semana;No sabe;No sabe;Mejor;30 minutos o menos;Entre 1 y 3 horas;0;No;COLEGIO COMFANDI EL PRADO;MIXTO;NO OFICIAL;B;N;TECNICO;COLEGIO COMFANDI EL PRADO;S;URBANO;MANANA;CALI;VALLE;358;16
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;No aplica;No Aplica;Estrato 2;3 a 4;Cuatro;Si;Si;Si;No;Si;No;Si;No;0 A 10 LIBROS;Todos o casi todos los dias ;3 a 5 veces por semana;3 a 5 veces por semana;No aplica;No aplica;Igual;30 minutos o menos;Entre 1 y 3 horas;0;No;COLEGIO COMFANDI EL PRADO;MIXTO;NO OFICIAL;B;N;TECNICO;COLEGIO COMFANDI EL PRADO;S;URBANO;MANANA;CALI;VALLE;239;16
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica completa;Tecnica o Tecnologa completa;Estrato 4;1 a 2;Dos;Si;Si;Si;Si;Si;Si;Si;Si;0 A 10 LIBROS;Todos o casi todos los dias ;3 a 5 veces por semana;1 o 2 veces por semana;No sabe;No sabe;Mejor;30 minutos o menos;30 minutos o menos;0;No;COLEGIO SAN PEDRO CLAVER;MIXTO;NO OFICIAL;B;N;TECNICO;COLEGIO SAN PEDRO CLAVER;S;URBANO;COMPLETA;CALI;VALLE;240;16
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;No sabe;No sabe;Estrato 4;1 a 2;Uno;Si;Si;No;No;No;No;No;No;0 A 10 LIBROS;Todos o casi todos los dias ;3 a 5 veces por semana;Nunca o rara vez comemos eso;No sabe;No sabe;Igual;Entre 1 y 2 horas;Mas de 3 horas;0;No;COLEGIO SAN PEDRO CLAVER;MIXTO;NO OFICIAL;B;N;TECNICO;COLEGIO SAN PEDRO CLAVER;S;URBANO;COMPLETA;CALI;VALLE;274;17
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato incompleta;Secundaria (Bachillerato) completa;Estrato 3;3 a 4;Tres;Si;Si;Si;Si;Si;No;Si;No;26 A 100 LIBROS;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;No aplica;No aplica;Igual;No leo por entretenimiento;Entre 30 y 60 minutos;0;No;FUND. ED. PABLO VI COLEGIO PARR. NTRA. SEÃ‘ORA DE GUADALUPE;MIXTO;NO OFICIAL;B;N;TECNICO;FUND COL  NUESTRA SRA DE GUADALUPE;S;URBANO;MANANA;CALI;VALLE;227;17
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Tecnica o Tecnologica incompleta;Estrato 3;5 a 6;Cuatro;Si;Si;No;Si;Si;No;No;No;0 A 10 LIBROS;1 o 2 veces por semana;Todos o casi todos los dias;1 o 2 veces por semana;No sabe;Es vendedor o trabaja en atencion al publico ;Peor;No leo por entretenimiento;Mas de 3 horas;0;No;COLEGIO SAN ALBERTO MAGNO;MIXTO;NO OFICIAL;B;N;ACADEMICO;COLEGIO SAN ALBERTO MAGNO;S;URBANO;MANANA;CALI;VALLE;239;16
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;No sabe;Tecnica o Tecnologa completa;Estrato 4;5 a 6;Tres;Si;Si;Si;Si;Si;Si;No;Si;26 A 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Mejor;Mas de 2 horas;Entre 30 y 60 minutos;0;No;COL COOMEVA;MIXTO;NO OFICIAL;B;N;ACADEMICO;COL COOMEVA;S;URBANO;COMPLETA;CALI;VALLE;294;16
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Tecnica o Tecnologica incompleta;Tecnica o Tecnologica incompleta;Estrato 2;3 a 4;Dos;No;No;Si;No;Si;No;Si;No;11 A 25 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;No aplica;Es vendedor o trabaja en atencion al publico ;Igual;30 minutos o menos;30 minutos o menos;0;No;COMFANDI MIRAFLORES;MIXTO;NO OFICIAL;B;N;ACADEMICO;COMFANDI MIRAFLORES;S;URBANO;MANANA;CALI;VALLE;250;16
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Educacion Porfesional completa;Secundaria (Bachillerato) completa;Estrato 4;3 a 4;Dos;Si;Si;Si;Si;Si;Si;No;Si;26 A 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Pensionado;Igual;Entre 30 y 60 minutos;Mas de 3 horas;0;No;CORPORACION COLEGIO AMERICAS UNIDAS;MIXTO;NO OFICIAL;B;N;ACADEMICO;CORPORACION COLEGIO AMERICAS UNIDAS;S;URBANO;MANANA;CALI;VALLE;283;17
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 4;5 a 6;Cuatro;Si;Si;Si;Si;Si;Si;No;No;MAS DE 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Todos o casi todos los dias;Es vendedor o trabaja en atencion al publico;Es vendedor o trabaja en atencion al publico ;Igual;Entre 30 y 60 minutos;Entre 30 y 60 minutos;0;No;COLEGIO LOS ANDES;MIXTO;NO OFICIAL;B;N;ACADEMICO;COLEGIO LOS ANDES;S;URBANO;MANANA;CALI;VALLE;244;16
CC;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Primaria completa;Primaria completa;Sin Estrato;3 a 4;Dos;No;No;Si;No;Si;No;Si;No;0 A 10 LIBROS;Nunca o rara vez comemos eso;1 o 2 veces por semana;3 a 5 veces por semana;No aplica;No aplica;Igual;30 minutos o menos;30 minutos o menos;MÃ¡s de 30 horas;No;CORPORACION NACIONAL DE ESTUDIOS;MIXTO;NO OFICIAL;B;N;ACADEMICO;CORPORACION NACIONAL DE ESTUDIOS;S;URBANO;MANANA;CALI;VALLE;195;21
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato incompleta;Secundaria (Bachillerato) completa;Estrato 2;7 a 8;Cuatro;Si;Si;Si;No;Si;Si;Si;No;0 A 10 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Todos o casi todos los dias;No sabe;No sabe;Igual;No leo por entretenimiento;Mas de 3 horas;0;No;INSTTIUCIÃ“N EDUCATIVA COLEGIO SAN JOSÃ‰ REFUGIO;FEMENINO;NO OFICIAL;B;N;TECNICO;INSTTIUCIÃ“N EDUCATIVA COLEGIO SAN JOSÃ‰ REFUGIO;S;URBANO;MANANA;CALI;VALLE;307;16
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Tecnica o Tecnologa completa;Estrato 1;3 a 4;Dos;Si;Si;Si;No;Si;No;Si;No;11 A 25 LIBROS;1 o 2 veces por semana;Todos o casi todos los dias;1 o 2 veces por semana;Es vendedor o trabaja en atencion al publico;No aplica;Peor;Mas de 2 horas;Entre 1 y 3 horas;0;No;COLEGIO EL AMPARO;FEMENINO;NO OFICIAL;B;N;TECNICO;COLEGIO EL AMPARO;S;URBANO;COMPLETA;CALI;VALLE;345;16
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Postgrado;Postgrado;Estrato 6;3 a 4;Tres;Si;Si;Si;Si;Si;Si;No;Si;MAS DE 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;Todos o casi todos los dias;No aplica;Pensionado;Igual;Entre 1 y 2 horas;Mas de 3 horas;0;No;ASPAEN LICEO TACURÃ;FEMENINO;NO OFICIAL;B;S;ACADEMICO;ASPAEN LICEO TACURÃ;S;URBANO;COMPLETA;CALI;VALLE;327;17
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Educacion Porfesional completa;Educacion Profesional completa;Estrato 3;5 a 6;Cuatro;Si;Si;Si;No;Si;Si;No;Si;26 A 100 LIBROS;3 a 5 veces por semana;Todos o casi todos los dias;1 o 2 veces por semana;No sabe;No sabe;Igual;No leo por entretenimiento;Entre 1 y 3 horas;0;No;COLEGIO LACORDAIRE;MASCULINO;NO OFICIAL;B;N;ACADEMICO;COLEGIO LACORDAIRE;S;URBANO;COMPLETA;CALI;VALLE;287;16
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;No sabe;No sabe;Estrato 4;3 a 4;Dos;Si;Si;No;Si;Si;No;No;No;11 A 25 LIBROS;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;No sabe;No sabe;Igual;Mas de 2 horas;Mas de 3 horas;0;No;COL CATOLICO;MIXTO;NO OFICIAL;B;N;ACADEMICO;COL CATOLICO;S;URBANO;COMPLETA;CALI;VALLE;299;16
CR;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato completa;Secundaria (Bachillerato) completa;Estrato 5;3 a 4;Tres;Si;Si;Si;Si;Si;No;No;Si;26 A 100 LIBROS;1 o 2 veces por semana;Todos o casi todos los dias;1 o 2 veces por semana;No aplica;No aplica;Mejor;No leo por entretenimiento;30 minutos o menos;0;No;LICEO QUIAL;MIXTO;NO OFICIAL;B;N;ACADEMICO;LICEO QUIAL - SEDE PRINCIPAL;S;URBANO;COMPLETA;CALI;VALLE;328;19
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Secundaria Bachillerato incompleta;Educacion Profesional completa;Estrato 3;3 a 4;Dos;Si;Si;Si;Si;Si;No;Si;No;26 A 100 LIBROS;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Es vendedor o trabaja en atencion al publico;No sabe;Igual;No leo por entretenimiento;30 minutos o menos;0;No;COL BILINGÃœE LANCASTER;MIXTO;NO OFICIAL;B;S;TECNICO;COL BILINGÃœE LANCASTER;S;URBANO;COMPLETA;CALI;VALLE;260;17
TI;COLOMBIA;F;20171;COLOMBIA;VALLE;CALI;Educacion Porfesional completa;Educacion Profesional completa;Estrato 5;3 a 4;Dos;Si;Si;Si;Si;Si;Si;No;Si;11 A 25 LIBROS;Todos o casi todos los dias ;3 a 5 veces por semana;Nunca o rara vez comemos eso;No aplica;No aplica;Igual;30 minutos o menos;Mas de 3 horas;0;No;COL BERCHMANS;MIXTO;NO OFICIAL;B;N;ACADEMICO;COL BERCHMANS;S;URBANO;COMPLETA;CALI;VALLE;302;17
TI;COLOMBIA;M;20171;COLOMBIA;VALLE;CALI;Educacion Porfesional completa;Secundaria (Bachillerato) completa;Estrato 4;3 a 4;Tres;Si;No;Si;Si;Si;No;No;No;26 A 100 LIBROS;Todos o casi todos los dias ;Todos o casi todos los dias;1 o 2 veces por semana;No aplica;No aplica;Mejor;30 minutos o menos;Entre 30 y 60 minutos;0;No;COL. BAUTISTA;MIXTO;NO OFICIAL;B;N;TECNICO;COL. BAUTISTA;S;URBANO;MANANA;CALI;VALLE;270;17
